repositoryName,mcrTags
ops4j/org.ops4j.pax.web,"[apache,resource,web]"
openhab/openhab-core,"[bundle,dependency-injection,model]"
quarkusio/quarkus-quickstarts,"[database,graph,io,neo4j]"
nuls-io/nuls-v1,"[io,module,tools]"
synyx/urlaubsverwaltung,"[junit,testing]"
opendaylight/controller,"[connector,controller]"
spring-cloud/spring-cloud-stream-binder-rabbit,"[amqp,client,http,queue,rabbitmq]"
apache/xmlgraphics-batik,"[apache,graphics,svg,swing,testing,ui]"
IBM/janusgraph-utils,[github]
chillzhuang/blade-tool,[cloud]
apache/flink,"[amazon,apache,aws,database,hadoop,hbase,runtime,sdk]"
artipie/artipie,"[client,http,junit,testing]"
tywo45/t-io,"[apache,io,websocket]"
dlsc-software-consulting-gmbh/WorkbenchFX,"[junit,testing]"
errai/errai,"[admin,client,jboss]"
lukas-krecan/ShedLock,"[junit,testing]"
roskenet/springboot-javafx-support,"[junit,testing]"
PGMDev/PGM,[platform]
dma-ais/AisLib,[library]
spring-projects/spring-ws,"[apache,security]"
dromara/TLog,[gateway]
apache/deltaspike,"[apache,api,beans,module]"
apache/hive,"[apache,database,hadoop,hbase,security]"
siddhi-io/siddhi,[scheduling]
Hakky54/sslcontext-kickstart,"[eclipse,http,jetty,reactive,server,webserver]"
openimaj/openimaj,"[image,wiki]"
xuhuisheng/lemon,"[cache,client]"
javaee/jersey,"[dependency-injection,webservice]"
apache/archiva,"[apache,cli,command-line,google,parser,tools,xml]"
hellokaton/anima,[bytecode]
jenkinsci/acceptance-test-harness,[github]
braisdom/ObjectiveSql,"[github,interface]"
lets-blade/blade,[bytecode]
sofastack/sofa-common-tools,"[bridge,logging,slf4j]"
eugenp/tutorials,"[apache,data,database,eclipse,github,graph,html,http,io,jetty,junit,nosql,parser,reactive,server,spark,spring,testing,webserver]"
yahoo/Oak,"[cache,client]"
OpenLiberty/open-liberty,"[apache,dependency-injection,grpc,io,protocol,rpc,security,serialization]"
tuxdevelop/spring-batch-lightmin,"[batch,config,spring]"
apache/pinot,"[apache,grpc,io,protocol,rpc,serialization]"
checkstyle/sonar-checkstyle,[sonar]
spring-cloud/spring-cloud-cli,"[loader,spring]"
eliasnogueira/selenium-java-lean-test-architecture,"[github,io,testing,testng]"
larsgeorge/hbase-book,"[apache,database,hadoop,hbase]"
GoogleCloudPlatform/java-docs-samples,"[cache,client,cloud,data,dependency-injection,google,io,monitoring,spring]"
dasniko/testcontainers-keycloak,"[admin,client]"
assertj/assertj-examples,[time]
eclipse-ee4j/jersey,[webservice]
wiverson/maven-jpackage-template,[github]
apache/gora,"[apache,command-line,compiler,hadoop]"
ctt-gob-es/clienteafirma,"[apache,cryptography,security]"
vert-x3/vertx-examples,"[apache,camel,rmi]"
karatelabs/karate,"[loader,spring]"
objectify/objectify,"[cache,client]"
apache/asterixdb,[apache]
seata/seata-samples,"[github,spring,starter]"
thombergs/code-examples,"[junit,testing]"
framiere/a-kafka-story,[github]
allwefantasy/ServiceFramework,"[dependency-injection,google]"
hiparker/opsli-boot,"[github,spring,starter]"
warmuuh/milkman,"[junit,testing]"
openlookeng/hetu-core,"[apache,database,hadoop,hbase]"
apache/phoenix,"[apache,client,database,hadoop,hbase,tracing,webapp]"
wikimedia/wikidata-query-rdf,[query]
DTStack/flinkx,"[apache,database,hadoop,hbase]"
onelogin/java-saml,"[apache,security]"
zlt2000/microservices-platform,"[github,spring,starter]"
vlingo/xoom-examples,"[authentication,io]"
ogrisel/pignlproc,[wiki]
fabric8io/kubernetes-client,"[annotations,builder,io]"
eclipse/steady,"[bytecode,ibm]"
weld/core,"[container,embedded,jboss,jetty,server,webserver]"
castlemock/castlemock,[github]
spring-projects/spring-integration-samples,"[bridge,junit,logging,slf4j,testing]"
GoogleCloudDataproc/hadoop-connectors,"[grpc,io,protocol,rpc,serialization]"
