packageName,apis
com.github.rnewson.couchdb.lucene.rhino,"[log4j:log4j,org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpcore,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,org.mozilla:rhino]"
com.github.rnewson.couchdb.lucene.util,"[junit:junit,log4j:log4j,org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpcore,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-analyzers-smartcn,org.apache.lucene:lucene-core,org.hamcrest:hamcrest-all,org.json:json]"
com.github.rnewson.couchdb.lucene.couchdb,"[commons-codec:commons-codec,junit:junit,org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpcore,org.apache.lucene:lucene-core,org.erlang.otp:jinterface,org.json:json,org.mozilla:rhino]"
com.github.rnewson.couchdb.lucene,"[commons-configuration:commons-configuration,commons-io:commons-io,junit:junit,log4j:log4j,org.apache.httpcomponents:httpclient,org.apache.httpcomponents:httpcore,org.apache.lucene:lucene-core,org.apache.lucene:lucene-highlighter,org.apache.lucene:lucene-queryparser,org.apache.tika:tika-core,org.eclipse.jetty:jetty-server,org.eclipse.jetty:jetty-servlet,org.hamcrest:hamcrest-all,org.json:json,org.mozilla:rhino]"
