packageName,className,methodName,apis
uk.co.flax.luwak,TestInputDocument,testCannotAddReservedFieldName,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.analysis,SuffixingNGramTokenFilter,reset,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.matchers,TestHighlightingMatcher,testMutliValuedFieldWithNonDefaultGaps,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.util,SpanRewriter,forceOffsets,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.analysis,TermsEnumTokenStream,"",[org.apache.lucene:lucene-core]
uk.co.flax.luwak.analysis,TermsEnumTokenStream,incrementToken,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,CandidateMatcher,getIndexReader,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,TestSpanExtractors,testSpanContains,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.presearcher,WildcardNGramPresearcherComponent,filterDocumentTokens,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,QueryIndex,purgeCache,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.presearcher,TestTermPresearcher,filtersOnTermQueries,[junit:junit]
uk.co.flax.luwak,Monitor,deleteById,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.presearcher,FieldFilterPresearcherComponentTestBase,testFieldFiltering,"[com.google.guava:guava,junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.presearcher,PresearcherComponent,filterDocumentTokens,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.benchmark,BenchmarkResults,"","[com.github.flaxsearch:luwak,io.dropwizard.metrics:metrics-core]"
uk.co.flax.luwak.termextractor.treebuilder,TreeBuilders,newConjunctionBuilder,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,QueryAnalyzer,"",[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,TestQueryAnalyzer,testConjunctionsDoNotAdvanceOverANYTOKENs,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak,TestMonitorFlexibleLuceneQueryParser,"","[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.benchmark,Benchmark,batchDocuments,"[com.github.flaxsearch:luwak,com.google.guava:guava]"
uk.co.flax.luwak.matchers,TestHighlightingMatcher,testIdenticalMatches,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.termextractor,TestExtractors,testBoostQueryExtractor,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.util,SpanOffsetReportingQuery,toString,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.benchmark,TestBenchmark,testValidation,"[com.github.flaxsearch:luwak,com.google.guava:guava,io.dropwizard.metrics:metrics-core,junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak,DocumentBatch,"","[org.apache.lucene:lucene-core,org.apache.lucene:lucene-memory]"
uk.co.flax.luwak,QueryIndex,closeWhileHandlingException,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestInputDocument,testOmitNorms,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.benchmark,ValidatorResults,"","[com.github.flaxsearch:luwak,com.google.guava:guava]"
uk.co.flax.luwak.queryparsers,LuceneQueryParser,parse,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
uk.co.flax.luwak,QueryIndex,commit,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor,QueryAnalyzer,getTreeBuilderForQuery,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor.treebuilder,SpanPayloadCheckQueryTreeBuilder,"",[org.apache.lucene:lucene-queries]
uk.co.flax.luwak,TestConcurrentQueryLoader,testLoading,"[junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak.termextractor,TestExtractors,testBooleanExtractsFilter,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.util,TestSpanRewriter,testMultiTermQueryEquals,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak,TestMonitorQuerySerialization,testMonitorQueryToString,"[com.google.guava:guava,junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak,TestQueryIndex,testHighConcurrency,"[junit:junit,org.assertj:assertj-core]"
uk.co.flax.luwak.matchers,TestHighlightingMatcher,highlightBatches,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.presearcher,DocumentQueryBuilder,addTerm,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor.treebuilder,RegexpNGramTermQueryTreeBuilder,buildTree,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.util,TestForceNoBulkScoringQuery,testEquality,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak,TestMonitor,testDocumentBatching,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak,TestQueryIndex,"",[org.apache.lucene:lucene-core]
uk.co.flax.luwak.matchers,TestHighlightingMatcher,setUp,[junit:junit]
uk.co.flax.luwak.termextractor,TestBooleanTermExtractor,allNestedDisjunctionClausesAreIncluded,"[junit:junit,org.apache.lucene:lucene-core]"
uk.co.flax.luwak.util,ForceNoBulkScoringQuery,"",[org.apache.lucene:lucene-core]
uk.co.flax.luwak,InputDocument,getAnalyzers,[org.apache.lucene:lucene-analyzers-common]
uk.co.flax.luwak,Presearcher,indexQuery,[org.apache.lucene:lucene-core]
uk.co.flax.luwak,TestMonitor,testMatcherMetadata,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.termextractor.treebuilder,PayloadScoreQueryTreeBuilder,buildTree,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queries]"
uk.co.flax.luwak.matchers,TestHighlightingMatcher,testWildcards,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak,TestMonitor,testMatchesAgainstAnEmptyMonitor,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.assertions,MatchesAssert,matchesQuery,[org.assertj:assertj-core]
uk.co.flax.luwak.termextractor,TestQueryAnalyzer,testConjunctionsCannotAdvanceOverZeroWeightedTokens,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak.assertions,HighlightingMatchHitsAssert,withHitCount,[org.assertj:assertj-core]
uk.co.flax.luwak.util,TestForceNoBulkScoringQuery,testRewrite,"[junit:junit,org.apache.lucene:lucene-core,org.assertj:assertj-core]"
uk.co.flax.luwak,QueryTermFilter,"",[org.apache.lucene:lucene-core]
uk.co.flax.luwak.matchers,ParallelMatcher,doMatchQuery,[org.apache.lucene:lucene-core]
uk.co.flax.luwak.termextractor.weights,FieldSpecificTermWeightNorm,norm,[org.apache.lucene:lucene-core]
