packageName,className,methodName,apis
org.imixs.workflow.engine,WorkflowService,getUserName,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.faces.data,ViewHandler,onLoad,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.faces.fileupload,FileUploadController,getCID,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.plugins,TestIntervalPlugin,testBPMNModel,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow,TestItemCollection,testCopyValues,[junit:junit]
org.imixs.workflow.bpmn,TestBPMNParserGroups,testSingleGroup,[junit:junit]
org.imixs.workflow.engine,DocumentService,updateMetaData,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.engine.plugins,MailPlugin,getBody,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.jaxrs,TestReportService,setUp,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine,TestAdaptText,testNumberFormat,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine.adminp,JobHandlerUpgradeWorkitems,buildQuery,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.jaxrs,ModelRestService,"","[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.plugins,TestAnalysisPlugin,testBasicTest,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.plugins,TestIntervalPlugin,testMonthly,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine.adapters,TestAccessAdapter,fallbackTest,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine.plugins,MailPlugin,getMailMessage,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.engine.scheduler,SchedulerService,start,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.plugins,TestApplicationPlugin,setUp,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.xml,TestReadWriteXMLData,testWrite,"[jakarta.platform:jakarta.jakartaee-api,junit:junit]"
org.imixs.workflow.engine,ModelService,getModelByWorkitem,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.faces.data,ViewController,getWorkitems,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.faces.fileupload,FileUploadController,removePersistedFile,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.jaxrs,ReportRestService,getXMLResult,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow,TestItemCollection,testGetItemValueTypeString,[junit:junit]
org.imixs.workflow.engine,TestWorkflowService,testProcessSimple,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.engine.jpa,EventLog,"","[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.plugins,TestSplitAndJoinPlugin,testCreateSubProcessWithFile,"[junit:junit,org.imixs.workflow:imixs-workflow-core]"
org.imixs.workflow.jaxrs,WorkflowRestService,getWorkItemFile,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.plugins,TestAnalysisPlugin,testWrongStartTest,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.plugins,TestRulePlugin,testBasicScript,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.plugins,TestRulePluginConditions,setUp,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.plugins,TestSplitAndJoinPlugin,testUpdateOriginProcess,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.bpmn,TestBPMNModelSimple,testModifyEvent,[junit:junit]
org.imixs.workflow.engine,TextEvent,getDocument,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.engine.plugins,SplitAndJoinPlugin,createSubprocesses,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.jaxrs,ReportRestService,getPdfReport,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow.util,ImixsJSONParser,parseValue,[jakarta.platform:jakarta.jakartaee-api]
org.imixs.workflow,TestRuleEngineBPMN,setup,[junit:junit]
org.imixs.workflow.bpmn,TestBPMNParserStartEventFollowUp,testSimple,[junit:junit]
org.imixs.workflow.engine,WorkflowMockEnvironment,getDatabase,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.engine.lucene,ExtendedFacetsExample,index,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,org.apache.lucene:lucene-facet]"
org.imixs.workflow.faces.data,WorkflowController,"","[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.faces.fileupload,FileUploadController,reset,[org.imixs.workflow:imixs-workflow-core]
org.imixs.workflow.jaxrs,WorkflowRestService,getEvents,"[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.plugins,TestRulePlugin,testResultObjectJSON,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.plugins,TestRulePlugin,testResultObjectNewValueList,"[junit:junit,org.imixs.workflow:imixs-workflow-core,org.imixs.workflow:imixs-workflow-engine]"
org.imixs.workflow.bpmn,TestBPMNParserLinkEvent,testLinkEventSimple,[junit:junit]
org.imixs.workflow.engine,SimulationService,"","[jakarta.platform:jakarta.jakartaee-api,org.imixs.workflow:imixs-workflow-core]"
