packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
pitt.search.semanticvectors.vectors,BinaryVector,getMaximumSharedWeight,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",12,12,1.0
pitt.search.semanticvectors,ESP,processPredication,pitt.search:semanticvectors,"",search,7,8,0.88
pitt.search.semanticvectors,ESP,processPredication,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,8,0.13
pitt.search.semanticvectors.integrationtests,RegressionTests,testBuildAndSearchBinaryPermutationIndex,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
pitt.search.semanticvectors,VectorStoreReaderLuceneTest,testReadFromTestData,junit:junit,Testing Frameworks,"testing,junit",3,4,0.75
pitt.search.semanticvectors,VectorStoreReaderLuceneTest,testReadFromTestData,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,4,0.25
pitt.search.semanticvectors.orthography,NumberRepresentationTest,testVectorsNearerToBeginningOrEnd,junit:junit,Testing Frameworks,"testing,junit",4,4,1.0
pitt.search.semanticvectors.tables,TypeSpecTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
pitt.search.examples,NarrativeRelationsIndexer,vectorForString,pitt.search:semanticvectors,"",search,6,6,1.0
pitt.search.lucene,LuceneIndexFromTriples,main,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",12,13,0.92
pitt.search.lucene,LuceneIndexFromTriples,main,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,13,0.08
pitt.search.semanticvectors.tables,TableTest,setUp,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
pitt.search.semanticvectors.vectors,ComplexVectorTest,testMeasurePolarOverlap,junit:junit,Testing Frameworks,"testing,junit",7,7,1.0
pitt.search.semanticvectors.vectors,VectorUtils,superposeInPlace,pitt.search:semanticvectors,"",search,7,7,1.0
pitt.search.lucene,FilePositionDoc,Document,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",66,66,1.0
pitt.search.semanticvectors.integrationtests,ESPTest,testBuildAndSearchComplexESPIndex,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
pitt.search.semanticvectors.vectors,ComplexVector,writeToLuceneStream,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,6,1.0
pitt.search.semanticvectors.vectors,BinaryVectorTest,testPermutation,junit:junit,Testing Frameworks,"testing,junit",6,6,1.0
