packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
proj.zoie.impl.indexing.internal,ZoieIndexDeletionPolicy,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,11,1.0
proj.zoie.api.impl,ZoieMergePolicy,findMerges,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",60,60,1.0
proj.zoie.api.impl.util,IntSetAccelerator,intIterator,it.unimi.dsi:fastutil,Collections,"collections,structures",3,3,1.0
proj.zoie.impl.indexing,ZoieConfig,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
proj.zoie.api.impl.util,IntSetAccelerator,"",it.unimi.dsi:fastutil,Collections,"collections,structures",12,12,1.0
proj.zoie.api.impl.util,MemoryManager,release,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.impl.indexing,NoopReaderCache,getIndexReaders,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.test.data,InRangeDataInterpreterForTests,interpret,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",16,16,1.0
proj.zoie.store,LuceneStore,updateReader,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",10,10,1.0
proj.zoie.api.impl.util,LongSetAccelerator,removeAll,it.unimi.dsi:fastutil,Collections,"collections,structures",1,1,1.0
proj.zoie.dataprovider.jms,TestJMSStreamDataProvider,testSuccessfulNext,com.senseidb.zoie:zoie-core,Search Engines,"engine,search",13,16,0.81
proj.zoie.dataprovider.jms,TestJMSStreamDataProvider,testSuccessfulNext,org.mockito:mockito-all,Mocking,"mock,mocking,testing",1,16,0.06
proj.zoie.dataprovider.jms,TestJMSStreamDataProvider,testSuccessfulNext,junit:junit,Testing Frameworks,"testing,junit",2,16,0.13
proj.zoie.api,ZoieMultiReader,doWrapDirectoryReader,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
proj.zoie.impl.indexing.internal,LuceneIndexDataLoader,"",log4j:log4j,Logging Frameworks,logging,3,14,0.21
proj.zoie.impl.indexing.internal,LuceneIndexDataLoader,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",11,14,0.79
proj.zoie.impl.indexing.internal,RAMLuceneIndexDataLoader,propagateDeletes,it.unimi.dsi:fastutil,Collections,"collections,structures",5,5,1.0
proj.zoie.impl.indexing,AsyncDataConsumer,syncWithVersion,log4j:log4j,Logging Frameworks,logging,8,8,1.0
proj.zoie.impl.indexing.internal,BatchedIndexDataLoader,setBatchSize,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.perf.client,StoreQueryHandler,"",it.unimi.dsi:fastutil,Collections,"collections,structures",8,16,0.5
proj.zoie.perf.client,StoreQueryHandler,"",com.senseidb.zoie:zoie-core,Search Engines,"engine,search",4,16,0.25
proj.zoie.perf.client,StoreQueryHandler,"",org.json:json,JSON Libraries,json,4,16,0.25
proj.zoie.perf.client,StoreQueryHandler,handleQuery,com.senseidb.zoie:zoie-core,Search Engines,"engine,search",2,2,1.0
proj.zoie.impl.indexing.internal,RAMSearchIndex,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,10,0.7
proj.zoie.impl.indexing.internal,RAMSearchIndex,"",log4j:log4j,Logging Frameworks,logging,3,10,0.3
proj.zoie.perf.tools,IndexReplicator,main,com.senseidb.zoie:zoie-core,Search Engines,"engine,search",10,51,0.2
proj.zoie.perf.tools,IndexReplicator,main,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,51,0.02
proj.zoie.perf.tools,IndexReplicator,main,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",40,51,0.78
proj.zoie.api.impl.util,IntSetAccelerator,removeAll,it.unimi.dsi:fastutil,Collections,"collections,structures",1,1,1.0
proj.zoie.api.impl.util,LongSetAccelerator,addAll,it.unimi.dsi:fastutil,Collections,"collections,structures",1,1,1.0
proj.zoie.perf.client,TermFileBuilder,main,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",20,26,0.77
proj.zoie.perf.client,TermFileBuilder,main,com.senseidb.zoie:zoie-core,Search Engines,"engine,search",6,26,0.23
proj.zoie.store,ZoieStoreConsumer,start,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.hourglass.impl,HourglassDirectoryManagerFactory,updateDirectoryManager,log4j:log4j,Logging Frameworks,logging,4,4,1.0
proj.zoie.impl.indexing,ZoieSystem,"",log4j:log4j,Logging Frameworks,logging,17,58,0.29
proj.zoie.impl.indexing,ZoieSystem,"",org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,58,0.02
proj.zoie.impl.indexing,ZoieSystem,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",40,58,0.69
proj.zoie.impl.indexing.internal,ZoieIndexDeletionPolicy,onInit,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",2,2,1.0
proj.zoie.test,ZoieStoreTestCase,testCompression,junit:junit,Testing Frameworks,"testing,junit",3,3,1.0
proj.zoie.hourglass.impl,Hourglass,getStandardMBean,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.store,AbstractZoieStore,getFromStore,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
proj.zoie.impl.indexing.internal,RAMSearchIndex,getNumdocs,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
proj.zoie.perf.client,SearchQueryHandler,getCurrentVersion,com.senseidb.zoie:zoie-core,Search Engines,"engine,search",2,2,1.0
proj.zoie.api.impl.util,LongSetAccelerator,size,it.unimi.dsi:fastutil,Collections,"collections,structures",1,1,1.0
proj.zoie.perf.client,SearchQueryHandler,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",6,10,0.6
proj.zoie.perf.client,SearchQueryHandler,"",com.senseidb.zoie:zoie-core,Search Engines,"engine,search",4,10,0.4
proj.zoie.store,LuceneStore,open,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",1,17,0.06
proj.zoie.store,LuceneStore,open,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",16,17,0.94
proj.zoie.hourglass.impl,HourglassReaderManager,getIndexReaders,log4j:log4j,Logging Frameworks,logging,20,20,1.0
proj.zoie.test,HourglassTest,testTrimming,junit:junit,Testing Frameworks,"testing,junit",3,30,0.1
proj.zoie.test,HourglassTest,testTrimming,log4j:log4j,Logging Frameworks,logging,27,30,0.9
proj.zoie.perf.client,ZoiePerf,buildFeedOnlyHandler,com.senseidb.zoie:zoie-core,Search Engines,"engine,search",7,7,1.0
proj.zoie.impl.indexing.internal,DefaultRAMDiskIndexFactory,"",log4j:log4j,Logging Frameworks,logging,3,4,0.75
proj.zoie.impl.indexing.internal,DefaultRAMDiskIndexFactory,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,4,0.25
proj.zoie.impl.indexing.internal,DiskSearchIndex,getSegmentInfo,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
proj.zoie.impl.indexing.internal,BaseSearchIndex,loadFromIndex,it.unimi.dsi:fastutil,Collections,"collections,structures",7,14,0.5
proj.zoie.impl.indexing.internal,BaseSearchIndex,loadFromIndex,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,14,0.5
proj.zoie.impl.indexing.internal,DelegateIndexDataConsumer,consume,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.impl.indexing.internal,DiskLuceneIndexDataLoader,expungeDeletes,log4j:log4j,Logging Frameworks,logging,4,11,0.36
proj.zoie.impl.indexing.internal,DiskLuceneIndexDataLoader,expungeDeletes,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",7,11,0.64
proj.zoie.api,ZoieMultiReader,copy,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,3,1.0
proj.zoie.test,ZoieTest,testStreamDataProvider,junit:junit,Testing Frameworks,"testing,junit",2,2,1.0
proj.zoie.test.data,DataInterpreterForTests,interpret,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",16,16,1.0
proj.zoie.api.impl.util,ArrayDocIdSet,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
proj.zoie.impl.indexing,AbstractIndexReaderDecorator,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
proj.zoie.impl.indexing,ZoieSystem,getIndexReaders,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.api.impl.util,IntSetAccelerator,toIntArray,it.unimi.dsi:fastutil,Collections,"collections,structures",4,4,1.0
proj.zoie.api.impl.util,LongSetAccelerator,equals,it.unimi.dsi:fastutil,Collections,"collections,structures",1,1,1.0
proj.zoie.perf.client,ZoiePerf,runPerf,com.yammer.metrics:metrics-core,Application Metrics,"monitoring,management,metrics,performance",55,95,0.58
proj.zoie.perf.client,ZoiePerf,runPerf,com.senseidb.zoie:zoie-core,Search Engines,"engine,search",19,95,0.2
proj.zoie.perf.client,ZoiePerf,runPerf,commons-configuration:commons-configuration,Configuration Libraries,config,21,95,0.22
proj.zoie.hourglass.impl,HourglassDirectoryManagerFactory,getCalendarTime,log4j:log4j,Logging Frameworks,logging,2,2,1.0
proj.zoie.test,ZoieTest,testStore,junit:junit,Testing Frameworks,"testing,junit",7,32,0.22
proj.zoie.test,ZoieTest,testStore,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",25,32,0.78
