packageName,className,methodName,apis
example.group,TestQuickstartHost,stopXenonHost,[com.vmware.xenon:xenon-common]
com.vmware.xenon.common,LoaderService,loadFromFileSystem,[com.vmware.xenon:xenon-common]
com.vmware.xenon.common,TestStatelessService,statelessWithOwnerSelectionWithoutReplication,[junit:junit]
com.vmware.xenon.common,TestUtils,toJsonHtmlNull,[junit:junit]
com.vmware.xenon.common.opentracing,TracingExecutor,"",[io.opentracing:opentracing-api]
com.vmware.xenon.common.serialization,HashingJsonWriter,beginObject,[com.google.code.gson:gson]
com.vmware.xenon.services.common,DocumentStoredFieldVisitor,binaryField,[org.apache.lucene:lucene-core]
com.vmware.xenon.services.common,TestRoleService,cleanUp,[junit:junit]
com.vmware.xenon.services.common,TestSimpleTransactionService,testSingleClientMultipleActiveTransactions,[junit:junit]
com.vmware.xenon.services.common,TestTransactionService,testNonPersistentService,[junit:junit]
com.vmware.xenon.services.samples,SampleContinuousQueryObserverService,handlePatch,[com.vmware.xenon:xenon-common]
com.vmware.xenon.common.test.websockets,JsWebSocket,setOnmessage,[org.mozilla:rhino]
com.vmware.xenon.services.common,LuceneDocumentIndexBackupService,handleBackup,[org.apache.lucene:lucene-core]
com.vmware.xenon.services.common,TestQueryFilter,simpleConjunctionOfDisjunctions,[junit:junit]
com.vmware.xenon.services.common,TestQueryTaskService,broadcastQueryPageServiceDeletion,"[junit:junit,org.assertj:assertj-core]"
com.vmware.xenon.services.common,TestSimpleTransactionService,testTransactionContextFlow,[junit:junit]
com.vmware.xenon.services.common,TestUserGroupService,cleanUp,[junit:junit]
com.vmware.xenon.workshop,QueryDemo,handleFactoryAvailability,[com.vmware.xenon:xenon-common]
com.vmware.xenon.common,TestAuthentication,testExternalAuthTokenRequestMultinode,"[io.netty:netty-all,junit:junit]"
com.vmware.xenon.common,TestOperation,completion,[junit:junit]
com.vmware.xenon.common,TestServiceDocument,testMapsUpdateThroughMergeMethod,[junit:junit]
com.vmware.xenon.common,TestUtils,createKryo,[com.esotericsoftware:kryo-shaded]
com.vmware.xenon.common.jwt,TestVerifier,nullHeader,[junit:junit]
com.vmware.xenon.common.serialization,ByteArrayToBase64TypeAdapter,"",[com.google.code.gson:gson]
com.vmware.xenon.common.test,VerificationHost,"",[junit:junit]
com.vmware.xenon.services.common,TestNodeGroupService,testStartServiceOutOfOrder,[junit:junit]
com.vmware.xenon.services.common,TestQueryFilter,matchTypeWildcard,[junit:junit]
com.vmware.xenon.services.samples,TestSampleContinuousQueryWatchService,testSampleWatchService,"[com.vmware.xenon:xenon-common,junit:junit]"
example.group,EmployeeServiceTest,cleanup,[junit:junit]
com.vmware.xenon.common,TestServiceHost,serviceStopDueToMemoryPressure,[junit:junit]
com.vmware.xenon.common,TestUriUtils,extendQueryPageLinkWithQuery,[junit:junit]
com.vmware.xenon.common.http.netty,NettyHttpServiceClientChannelPoolsTest,testDefaultConnectionLimit,[junit:junit]
