packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
net.semanticmetadata.lire.indexers.tools.text,ParallelExtraction,run,commons-io:commons-io,I/O Utilities,io,2,2,1.0
net.semanticmetadata.lire.utils,LuceneUtils,openIndexSearcher,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
net.semanticmetadata.lire.imageanalysis,FCTHTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.imageanalysis,HashingTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.indexers.hashing,MetricSpacesTest,testSearchAccuracy,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",14,14,1.0
net.semanticmetadata.lire.indexing,HashingTest,printToHtml,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,9,1.0
net.semanticmetadata.lire.indexing,LocalitySensitiveHashingTest,singleSearch,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",36,36,1.0
net.semanticmetadata.lire,RuntimeTest,testCreateCorrelogramIndex,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",9,9,1.0
net.semanticmetadata.lire.classifiers,ClassifierTest,testClassifyNCombinedFeaturesMulti,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",228,228,1.0
net.semanticmetadata.lire.indexing,HashingTest,testImageSearcher,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",10,10,1.0
liredemo,LireDemoFrame,rerankLsaActionPerformed,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",8,8,1.0
net.semanticmetadata.lire,MserTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.imageanalysis.bovw,LocalFeatureHistogramBuilderFromCodeBook,getVisualWords,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
net.semanticmetadata.lire,GeneralTest,"",junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
net.semanticmetadata.lire.searchers,ImageSearcherUsingWSs,findSimilar,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,1,1.0
net.semanticmetadata.lire.utils,FileUtils,getAllImageFiles,commons-io:commons-io,I/O Utilities,io,8,8,1.0
net.semanticmetadata.lire,CreateIndexTest,"",junit:junit,Testing Frameworks,"testing,junit",1,11,0.09
net.semanticmetadata.lire,CreateIndexTest,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",10,11,0.91
net.semanticmetadata.lire,GeneralTest,indexFiles,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",4,4,1.0
net.semanticmetadata.lire,TestImageSearcher,testCachingSearcherParallel,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",17,17,1.0
net.semanticmetadata.lire.benchmarking,TestGeneral,"",junit:junit,Testing Frameworks,"testing,junit",1,2,0.5
net.semanticmetadata.lire.benchmarking,TestGeneral,"",org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",1,2,0.5
net.semanticmetadata.lire.indexers.tools.binary,Indexor,readFile,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",13,13,1.0
net.semanticmetadata.lire.imageanalysis.features.local.opencvfeatures,CvSiftExtractor,init,nu.pattern:opencv,Computer Vision,"pattern,computer-vision,ai",13,13,1.0
