packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
com.vmware.xenon.common,TestQueryResultProcessor,junit:junit,Testing Frameworks,"testing,junit",33,33,1.0
com.vmware.xenon.services.samples,LocalWordCountingSampleService,com.vmware.xenon:xenon-common,"","",48,48,1.0
com.vmware.xenon.common,QueryResultsProcessor,com.google.code.gson:gson,JSON Libraries,"google,json",2,2,1.0
com.vmware.xenon.host,TestDecentralizedControlPlaneHost,junit:junit,Testing Frameworks,"testing,junit",13,19,0.68
com.vmware.xenon.host,TestDecentralizedControlPlaneHost,com.vmware.xenon:xenon-common,"","",6,19,0.32
com.vmware.xenon.workshop,MultiNodeDemo,com.vmware.xenon:xenon-common,"","",60,60,1.0
com.vmware.xenonlabs,UpgradeDemoEmployeeService,com.vmware.xenon:xenon-common,"","",197,197,1.0
com.vmware.xenon.workshop,QueryDemo,com.vmware.xenon:xenon-common,"","",155,155,1.0
com.vmware.xenon.services.samples,TestWordCountingSampleService,com.vmware.xenon:xenon-common,"","",68,76,0.89
com.vmware.xenon.services.samples,TestWordCountingSampleService,junit:junit,Testing Frameworks,"testing,junit",8,76,0.11
com.vmware.xenon.services.common,TestServiceHostManagementService,junit:junit,Testing Frameworks,"testing,junit",66,66,1.0
com.vmware.xenon.common.test,AuthorizationHelper,junit:junit,Testing Frameworks,"testing,junit",1,1,1.0
com.vmware.xenon.services.common,TestServiceDocument,junit:junit,Testing Frameworks,"testing,junit",73,73,1.0
com.vmware.xenon.common,Operation,com.google.code.gson:gson,JSON Libraries,"google,json",3,3,1.0
com.vmware.xenon.common,TestOdataFilter,junit:junit,Testing Frameworks,"testing,junit",32,32,1.0
com.vmware.xenon.common,BasicReusableHostTestCase,junit:junit,Testing Frameworks,"testing,junit",14,14,1.0
com.vmware.xenon.services.samples,SampleServiceWithSharedCustomUi,com.vmware.xenon:xenon-common,"","",2,2,1.0
com.vmware.xenon.common,TestClaims,junit:junit,Testing Frameworks,"testing,junit",7,7,1.0
com.vmware.xenon.common.serialization,ByteBufferSerializer,com.esotericsoftware:kryo-shaded,"","",16,16,1.0
com.vmware.xenon.services.common,TestNodeGroupMigrationTaskService,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",3,19,0.16
com.vmware.xenon.services.common,TestNodeGroupMigrationTaskService,junit:junit,Testing Frameworks,"testing,junit",16,19,0.84
com.vmware.xenon.common.http.netty,NettyHttpEventStreamHandler,io.netty:netty-all,Network App Frameworks,"network,socket,framework,netty,io",50,50,1.0
com.vmware.xenon.common.jwt,Verifier,com.google.code.gson:gson,JSON Libraries,"google,json",12,12,1.0
com.vmware.xenon.services.common,TestExampleService,junit:junit,Testing Frameworks,"testing,junit",58,83,0.7
com.vmware.xenon.services.common,TestExampleService,org.assertj:assertj-core,Assertion Libraries,"assertion,quality",25,83,0.3
