packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
cc.twittertools.util,ExtractSubcollection,com.google.code.gson:gson,JSON Libraries,"google,json",1,98,0.01
edu.gslis.ttg.clusters.clusterers,SimpleJaccardClusterer,cc.twittertools:twitter-tools-core,"","tools,twitter",23,23,1.0
edu.illinois.lis.utils,ExtractGqueriesFromTrecFormat,com.google.code.gson:gson,JSON Libraries,"google,json",42,42,1.0
cc.twittertools.corpus.data,JsonStatusBlockReader,com.google.guava:guava,Core Utilities,google,2,2,1.0
edu.illinois.lis.query,TrecTemporalTopicSet,com.google.guava:guava,Core Utilities,google,12,12,1.0
edu.illinois.lis.document,FeatureVector,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",24,44,0.55
edu.illinois.lis.document,FeatureVector,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",20,44,0.45
cc.twittertools.search.api,SearchStatusesThrift,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",125,125,1.0
edu.gslis.ttg.searchers,SimpleSearcher,cc.twittertools:twitter-tools-core,"","tools,twitter",24,24,1.0
edu.illinois.lis.utils,Qrels,commons-io:commons-io,I/O Utilities,io,2,2,1.0
cc.twittertools.search.api,TrecSearchThriftClient,com.google.guava:guava,Core Utilities,google,4,13,0.31
cc.twittertools.search.api,TrecSearchThriftClient,org.apache.thrift:libthrift,Object Serialization,"serialization,apache,thrift,protocol",9,13,0.69
cc.twittertools.hbase,LoadWordCount,com.google.guava:guava,Core Utilities,google,15,20,0.75
cc.twittertools.hbase,LoadWordCount,org.apache.hbase:hbase,Hadoop Databases,"database,nosql,hadoop,apache,hbase",5,20,0.25
cc.twittertools.download,FetchStatusTest,com.google.code.gson:gson,JSON Libraries,"google,json",12,50,0.24
cc.twittertools.download,FetchStatusTest,com.ning:async-http-client,HTTP Clients,"client,asynchronous,http",28,50,0.56
cc.twittertools.download,FetchStatusTest,junit:junit,Testing Frameworks,"testing,junit",8,50,0.16
cc.twittertools.download,FetchStatusTest,commons-lang:commons-lang,Core Utilities,"",2,50,0.04
cc.twittertools.index,TokenizationTest,junit:junit,Testing Frameworks,"testing,junit",5,29,0.17
cc.twittertools.index,TokenizationTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",22,29,0.76
cc.twittertools.index,TokenizationTest,com.google.guava:guava,Core Utilities,google,2,29,0.07
cc.twittertools.index,IndexStatuses,commons-cli:commons-cli,Command Line Parsers,"command-line,cli,parser",75,227,0.33
cc.twittertools.index,IndexStatuses,it.unimi.dsi:fastutil,Collections,"collections,structures",12,227,0.05
cc.twittertools.index,IndexStatuses,org.apache.ant:ant,Build Tools,"apache,ant,build,tools",1,227,0.0
cc.twittertools.index,IndexStatuses,log4j:apache-log4j-extras,Logging Frameworks,"logging,apache",25,227,0.11
cc.twittertools.index,IndexStatuses,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",114,227,0.5
