packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
com.stratio.cassandra.lucene.testsAT.search,PrefixSearchIT,junit:junit,Testing Frameworks,"testing,junit",30,58,0.52
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,TextMapperValidTypesIndexCreationIT,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",9,15,0.6
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,TextMapperValidTypesIndexCreationIT,junit:junit,Testing Frameworks,"testing,junit",6,15,0.4
com.stratio.cassandra.lucene.search.condition,RangeCondition,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",24,24,1.0
com.stratio.cassandra.lucene.testsAT.search,AbstractSearchIT,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",14,16,0.88
com.stratio.cassandra.lucene.testsAT.search,AbstractSearchIT,junit:junit,Testing Frameworks,"testing,junit",2,16,0.13
com.stratio.cassandra.lucene.testsAT.story,SimpleKeyIndexHandlingIT,com.stratio.cassandra:cassandra-lucene-index-builder,"","lucene,database,builder,cassandra,index",4,11,0.36
com.stratio.cassandra.lucene.testsAT.story,SimpleKeyIndexHandlingIT,junit:junit,Testing Frameworks,"testing,junit",7,11,0.64
com.stratio.cassandra.lucene.schema,SchemaTest,org.apache.lucene:lucene-analyzers-common,"","lucene,analyzer,apache,index",8,51,0.16
com.stratio.cassandra.lucene.schema,SchemaTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",22,51,0.43
com.stratio.cassandra.lucene.schema,SchemaTest,junit:junit,Testing Frameworks,"testing,junit",21,51,0.41
com.stratio.cassandra.lucene.schema.mapping,DoubleMapper,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",15,15,1.0
com.stratio.cassandra.lucene.search.condition,GeoShapeConditionTest,org.apache.lucene:lucene-spatial,"","lucene,spatial,apache,index",3,46,0.07
com.stratio.cassandra.lucene.search.condition,GeoShapeConditionTest,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",15,46,0.33
com.stratio.cassandra.lucene.search.condition,GeoShapeConditionTest,junit:junit,Testing Frameworks,"testing,junit",28,46,0.61
com.stratio.cassandra.lucene.search.condition,LuceneCondition,org.apache.lucene:lucene-queryparser,"","lucene,apache,index",10,13,0.77
com.stratio.cassandra.lucene.search.condition,LuceneCondition,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",3,13,0.23
com.stratio.cassandra.lucene.search.sort.builder,GeoDistanceSortFieldBuilderTest,junit:junit,Testing Frameworks,"testing,junit",22,22,1.0
com.stratio.cassandra.lucene.testsAT.issues,Issue177IT,junit:junit,Testing Frameworks,"testing,junit",3,15,0.2
