packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
org.dependencytrack.resources.v1,AbstractConfigPropertyResource,us.springett:alpine,"","",107,107,1.0
org.dependencytrack.resources.v1,AnalysisResource,us.springett:alpine,"","",29,29,1.0
org.dependencytrack.common,UnirestFactoryTest,com.konghq:unirest-java,"","",9,9,1.0
org.dependencytrack.model,Policy,us.springett:alpine,"","",6,6,1.0
org.dependencytrack.tasks,NpmAdvisoryMirrorTask,us.springett:alpine,"","",66,88,0.75
org.dependencytrack.tasks,NpmAdvisoryMirrorTask,com.konghq:unirest-java,"","",22,88,0.25
org.dependencytrack.upgrade.v420,v420Updater,us.springett:alpine,"","",11,11,1.0
org.dependencytrack.event,ClearComponentAnalysisCacheEvent,us.springett:alpine,"","",1,1,1.0
org.dependencytrack.resources.v1,PolicyResource,us.springett:alpine,"","",26,26,1.0
org.dependencytrack.persistence,PackageURLStringConverter,us.springett:alpine,"","",5,12,0.42
org.dependencytrack.persistence,PackageURLStringConverter,com.github.package-url:packageurl-java,"","github,url",7,12,0.58
org.dependencytrack.notification.publisher,WebhookPublisher,io.pebbletemplates:pebble,"",io,8,10,0.8
org.dependencytrack.notification.publisher,WebhookPublisher,us.springett:alpine,"","",2,10,0.2
org.dependencytrack.parser.npm,NpmAdvisoriesParser,com.konghq:unirest-java,"","",22,27,0.81
org.dependencytrack.parser.npm,NpmAdvisoriesParser,us.springett:alpine,"","",5,27,0.19
org.dependencytrack.resources.v1,PermissionResource,us.springett:alpine,"","",119,119,1.0
org.dependencytrack.tasks.repositories,GemMetaAnalyzer,com.github.package-url:packageurl-java,"","github,url",4,39,0.1
org.dependencytrack.tasks.repositories,GemMetaAnalyzer,com.konghq:unirest-java,"","",30,39,0.77
org.dependencytrack.tasks.repositories,GemMetaAnalyzer,us.springett:alpine,"","",5,39,0.13
org.dependencytrack.integrations,FindingUploaderTest,org.mockito:mockito-core,Mocking,"mock,mocking,testing",6,6,1.0
org.dependencytrack.tasks,FortifySscUploadTask,us.springett:alpine,"","",10,10,1.0
org.dependencytrack.policy,LicensePolicyEvaluatorTest,us.springett:alpine,"","",4,4,1.0
org.dependencytrack.integrations.fortifyssc,FortifySscClientTest,org.mock-server:mockserver-netty,Mocking,"network,mock,socket,server,mocking,testing,netty",4,4,1.0
org.dependencytrack.tasks.repositories,NugetMetaAnalyzerTest,com.github.package-url:packageurl-java,"","github,url",1,1,1.0
org.dependencytrack.search,LicenseIndexer,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index",18,55,0.33
org.dependencytrack.search,LicenseIndexer,us.springett:alpine,"","",37,55,0.67
org.dependencytrack.resources.v1,OidcResourceUnauthenticatedTest,us.springett:alpine,"","",1,1,1.0
org.dependencytrack.integrations,AbstractIntegrationPointTest,org.mockito:mockito-core,Mocking,"mock,mocking,testing",4,8,0.5
org.dependencytrack.integrations,AbstractIntegrationPointTest,us.springett:alpine,"","",4,8,0.5
org.dependencytrack.event,BomUploadEventTest,us.springett:alpine,"","",2,2,1.0
org.dependencytrack.tasks,CloneProjectTask,us.springett:alpine,"","",11,11,1.0
org.dependencytrack.tasks.repositories,ComposerMetaAnalyzer,com.github.package-url:packageurl-java,"","github,url",8,67,0.12
org.dependencytrack.tasks.repositories,ComposerMetaAnalyzer,org.apache.maven:maven-artifact,Build Models,"model,build,build-system,maven,apache",9,67,0.13
org.dependencytrack.tasks.repositories,ComposerMetaAnalyzer,com.konghq:unirest-java,"","",43,67,0.64
org.dependencytrack.tasks.repositories,ComposerMetaAnalyzer,us.springett:alpine,"","",7,67,0.1
org.dependencytrack.notification.publisher,AbstractWebhookPublisher,com.konghq:unirest-java,"","",21,42,0.5
org.dependencytrack.notification.publisher,AbstractWebhookPublisher,us.springett:alpine,"","",19,42,0.45
org.dependencytrack.notification.publisher,AbstractWebhookPublisher,io.pebbletemplates:pebble,"",io,2,42,0.05
org.dependencytrack.event,MetricsUpdateEvent,us.springett:alpine,"","",5,5,1.0
org.dependencytrack.event,NpmAdvisoryMirrorEvent,us.springett:alpine,"","",1,1,1.0
org.dependencytrack.notification.publisher,ConsolePublisher,us.springett:alpine,"","",11,19,0.58
org.dependencytrack.notification.publisher,ConsolePublisher,io.pebbletemplates:pebble,"",io,8,19,0.42
org.dependencytrack.persistence,VulnerabilityQueryManager,us.springett:alpine,"","",27,27,1.0
org.dependencytrack.parser.github.graphql,GitHubSecurityAdvisoryParser,com.konghq:unirest-java,"","",133,133,1.0
org.dependencytrack.persistence,CweImporterTest,us.springett:alpine,"","",1,1,1.0
org.dependencytrack.resources.v1,UserResource,us.springett:alpine,"","",429,429,1.0
org.dependencytrack.tasks.repositories,GemMetaAnalyzerTest,com.github.package-url:packageurl-java,"","github,url",1,1,1.0
org.dependencytrack.resources.v1,VulnerabilityResourceTest,us.springett:alpine,"","",13,13,1.0
org.dependencytrack.notification.publisher,Publisher,io.pebbletemplates:pebble,"",io,3,40,0.08
org.dependencytrack.notification.publisher,Publisher,us.springett:alpine,"","",37,40,0.93
org.dependencytrack.tasks.repositories,PypiMetaAnalyzerTest,com.github.package-url:packageurl-java,"","github,url",1,1,1.0
org.dependencytrack.persistence,BomQueryManager,us.springett:alpine,"","",3,3,1.0
org.dependencytrack.tasks.repositories,HexMetaAnalyzer,com.konghq:unirest-java,"","",40,54,0.74
org.dependencytrack.tasks.repositories,HexMetaAnalyzer,com.github.package-url:packageurl-java,"","github,url",7,54,0.13
org.dependencytrack.tasks.repositories,HexMetaAnalyzer,us.springett:alpine,"","",7,54,0.13
org.dependencytrack.integrations,ProjectFindingUploaderTest,org.mockito:mockito-core,Mocking,"mock,mocking,testing",7,7,1.0
org.dependencytrack.persistence,PolicyQueryManager,us.springett:alpine,"","",32,32,1.0
org.dependencytrack.persistence,FindingsQueryManager,us.springett:alpine,"","",6,6,1.0
org.dependencytrack.tasks.repositories,CargoMetaAnalyzer,us.springett:alpine,"","",7,61,0.11
org.dependencytrack.tasks.repositories,CargoMetaAnalyzer,com.github.package-url:packageurl-java,"","github,url",4,61,0.07
org.dependencytrack.tasks.repositories,CargoMetaAnalyzer,com.konghq:unirest-java,"","",50,61,0.82
org.dependencytrack.common,ManagedHttpClientFactoryTest,us.springett:alpine,"","",12,12,1.0
org.dependencytrack.tasks.repositories,MavenMetaAnalyzer,us.springett:alpine,"","",5,10,0.5
org.dependencytrack.tasks.repositories,MavenMetaAnalyzer,com.github.package-url:packageurl-java,"","github,url",5,10,0.5
org.dependencytrack.event,InternalComponentIdentificationEvent,us.springett:alpine,"","",1,1,1.0
org.dependencytrack.model,ComponentIdentity,org.cyclonedx:cyclonedx-core-java,"","",23,64,0.36
org.dependencytrack.model,ComponentIdentity,org.json:json,JSON Libraries,json,22,64,0.34
org.dependencytrack.model,ComponentIdentity,com.github.package-url:packageurl-java,"","github,url",19,64,0.3
org.dependencytrack.tasks.repositories,AbstractMetaAnalyzer,com.github.package-url:packageurl-java,"","github,url",1,31,0.03
org.dependencytrack.tasks.repositories,AbstractMetaAnalyzer,us.springett:alpine,"","",30,31,0.97
org.dependencytrack.notification,NotificationSubsystemInitializerTest,us.springett:alpine,"","",4,4,1.0
org.dependencytrack.resources.v1,PermissionResourceTest,us.springett:alpine,"","",96,96,1.0
org.dependencytrack.model,Project,us.springett:alpine,"","",35,44,0.8
org.dependencytrack.model,Project,com.github.package-url:packageurl-java,"","github,url",9,44,0.2
org.dependencytrack.resources.v1,TeamResource,us.springett:alpine,"","",93,93,1.0
org.dependencytrack.search,IndexManagerFactory,us.springett:alpine,"","",2,2,1.0
org.dependencytrack.util,PurlUtil,com.github.package-url:packageurl-java,"","github,url",35,35,1.0
org.dependencytrack.integrations,FindingPackagingFormatTest,org.json:json,JSON Libraries,json,21,27,0.78
org.dependencytrack.integrations,FindingPackagingFormatTest,us.springett:alpine,"","",6,27,0.22
org.dependencytrack.model,LicenseGroup,us.springett:alpine,"","",2,2,1.0
org.dependencytrack.model,Tag,us.springett:alpine,"","",3,3,1.0
org.dependencytrack.resources.v1,ProjectPropertyResource,us.springett:alpine,"","",24,24,1.0
org.dependencytrack.notification.publisher,WebhookPublisherTest,org.mock-server:mockserver-netty,Mocking,"network,mock,socket,server,mocking,testing,netty",4,19,0.21
