packageName,className,apis
zemberek.langid,LanguageIdentifier,[com.google.guava:guava]
zemberek.apps.morphology,MorphologyConsole,[com.beust:jcommander]
zemberek.core.io,KeyValueReaderTest,"[com.google.guava:guava,junit:junit]"
zemberek.langid.model,MapBasedCharNgramLanguageModel,[com.google.guava:guava]
zemberek.core.io,SimpleTextWriter,[com.google.guava:guava]
zemberek.corpus,LuceneIndexer,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
zemberek.lm.compression,SmoothLmTest,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.ambiguity,AmbigiousContextExtractor,[com.google.guava:guava]
zemberek.core.process,ProcessRunner,[com.google.guava:guava]
zemberek.morphology.lexicon.tr,TurkishDictionaryLoaderTest,"[com.google.guava:guava,junit:junit]"
zemberek.core.math,FloatArraysTest,[junit:junit]
zemberek.morphology.analysis,VerbsTest,[junit:junit]
zemberek.core.io,SimpleTextWriterTest,"[com.google.guava:guava,junit:junit]"
zemberek.apps.corpus,RemoveDuplicateLines,"[com.beust:jcommander,com.google.guava:guava]"
zemberek.core.collections,LongBitVectorTest,"[com.google.guava:guava,junit:junit]"
zemberek.apps.lm,CompressLm,"[com.beust:jcommander,com.google.guava:guava]"
zemberek.core.embeddings,WordVectorsTrainer,[com.google.guava:guava]
zemberek.core.hash,LargeNgramMphfTest,"[com.google.guava:guava,junit:junit]"
zemberek.morphology.external,ProcessRunner,[com.google.guava:guava]
zemberek.tokenization,PerceptronSegmenter,[com.google.guava:guava]
zemberek.normalization,NormalizationScripts,[com.google.guava:guava]
zemberek.morphology.analysis,SingleAnalysis,[com.google.guava:guava]
zemberek.apps.corpus,PreprocessTurkishCorpus,[com.beust:jcommander]
zemberek.corpus,CorpusDbTest,"[com.google.guava:guava,junit:junit]"
zemberek.embedding.fasttext,FastTextTest,[junit:junit]
zemberek.core.math,DoubleArraysTest,[junit:junit]
zemberek.core.collections,UIntValueMapTest,[junit:junit]
zemberek.langid.train,ModelGenerator,[com.google.guava:guava]
